ID,Benefit_Amt,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit,Number_Adults,Number_Children
ABC989007,187, ,1/1/2013, , , ,Verified,79,ZIP1,DI,N,N,587,0,0,0,877,187,1,0
ABC989007,180, ,3/1/2013, , , ,Verified,79,ZIP1,DI,N,N,611,0,0,0,877,114,1,0
ABC989016,276, ,2/1/2013, , , ,Verified,64,ZIP2,DI,N,N,290,0,0,0,854,306,1,0
ABC989016,276, ,3/1/2013, , , ,Verified,64,ZIP2,DI,N,N,290,0,0,0,854,306,1,0
ABC989020,383, ,1/1/2013, , , ,Unverified,47,ZIP1,MA,N,N,1021,0,0,0,1154,520,2,1
ABC989020,383, ,2/1/2013, , , ,Unverified,47,ZIP1,MA,N,N,1021,0,0,0,1154,520,2,1
ABC989020,372, ,3/1/2013, , , ,Unverified,47,ZIP1,MA,N,N,1057,0,0,0,1154,498,2,1
ABC989023,249, ,1/1/2013, , , ,Verified,55,ZIP3,NM,N,N,0,0,0,0,0,0,1,0
ABC989023,249, ,2/1/2013, , , ,Verified,55,ZIP3,NM,N,N,380,0,0,0,715,252,1,0
ABC989023,249, ,3/1/2013, , , ,Verified,55,ZIP3,NM,N,N,380,0,0,0,715,252,1,0
ABC989028,323, ,1/1/2013, , , ,Verified,54,ZIP4,DI,N,N,0,0,0,0,904,400,1,0
ABC989028,323, ,2/1/2013, , , ,Verified,54,ZIP4,DI,N,N,0,0,0,0,904,400,1,0
ABC989028,323, ,3/1/2013, , , ,Verified,54,ZIP4,DI,N,N,0,0,0,0,904,400,1,0
ABC989035,323, ,1/1/2013, , , ,Verified,32,ZIP3,NM,N,N,0,0,0,0,0,0,1,0
ABC989035,0, ,2/1/2013, , , ,Verified,32,ZIP3,NM,N,N,0,0,0,0,0,0,1,0
ABC989061,0,228,1/1/2013, , ,228,Unverified,55,ZIP2,WI,N,N,0,0,0,0,0,0,1,0
ABC989061,0,228,2/1/2013, , ,228,Unverified,55,ZIP2,WI,N,N,0,0,0,0,0,0,1,0
ABC989061,0,228,3/1/2013, , ,228,Unverified,55,ZIP2,WI,N,N,0,0,0,0,0,0,1,0
ABC989079,366, ,1/1/2013, , , ,Verified,29,ZIP2,NM,N,N,1078,0,0,0,687,486,1,2
ABC989079,366, ,2/1/2013, , , ,Verified,29,ZIP2,NM,N,N,1078,0,0,0,687,486,1,2
ABC989079,320, ,3/1/2013, , , ,Verified,29,ZIP2,NM,N,N,1230,0,0,0,971,394,1,2
ABC989098,233, ,1/1/2013, , , ,Verified,58,ZIP5,WI,N,N,0,0,0,0,0,240,2,1
ABC989098,0,233,2/1/2013,233, , ,Verified,58,ZIP5,WI,N,N,1486,0,0,0,0,240,2,1
ABC989098,0,233,3/1/2013,233, , ,Verified,58,ZIP5,WI,N,N,1486,0,0,0,0,240,2,1
ABC989122,323, ,1/1/2013, , , ,Verified,26,ZIP2,,N,Y,0,0,0,0,0,400,1,0
ABC989122,323, ,2/1/2013, , , ,Verified,26,ZIP2,,N,Y,0,0,0,0,0,400,1,0
ABC989122,323, ,3/1/2013, , , ,Verified,26,ZIP2,,N,Y,0,0,0,0,0,400,1,0
ABC989205,0, ,1/1/2013, , , ,Verified,89,ZIP5,WI,N,N,0,0,0,0,0,0,1,0
ABC989205,0, ,2/1/2013, , , ,Verified,89,ZIP5,WI,N,N,0,0,0,0,0,0,1,0
ABC989205,0, ,3/1/2013, , , ,Verified,89,ZIP5,WI,N,N,0,0,0,0,0,0,1,0
ABC989215,158, ,1/1/2013, , , ,Verified,60,ZIP2,NM,N,N,0,0,0,0,0,0,1,0
ABC989215,158, ,2/1/2013, , , ,Verified,60,ZIP2,NM,N,N,0,0,0,0,0,0,1,0
ABC989215,139, ,3/1/2013, , , ,Verified,60,ZIP2,NM,N,N,876,0,0,0,336,32,1,0
ABC989217,278, ,1/1/2013, , , ,Verified,42,ZIP3,NM,N,N,0,0,0,0,0,0,1,1
ABC989217,278, ,2/1/2013, , , ,Verified,42,ZIP3,NM,N,N,0,0,0,0,0,0,1,1
ABC989217,278, ,3/1/2013, , , ,Verified,42,ZIP3,NM,N,N,0,0,0,0,0,0,1,1
ABC989249,217, ,1/1/2013, , , ,Verified,68,ZIP5,DI,N,N,486,0,0,0,670,188,1,0
ABC989249,217, ,2/1/2013, , , ,Verified,68,ZIP5,DI,N,N,486,0,0,0,670,188,1,0
ABC989249,217, ,3/1/2013, , , ,Verified,68,ZIP5,DI,N,N,486,0,0,0,670,188,1,0
ABC989265,213, ,1/1/2013, , , ,Verified,48,ZIP3,NM,N,N,0,0,0,0,0,0,1,0
