ID,,Benefit_Amt
ABC989007,1/1/2013,187
ABC989007,3/1/2013,180
ABC989016,2/1/2013,276
ABC989016,3/1/2013,276
ABC989020,1/1/2013,383
ABC989020,2/1/2013,383
ABC989020,3/1/2013,372
ABC989023,1/1/2013,249
ABC989023,2/1/2013,249
ABC989023,3/1/2013,249
ABC989028,1/1/2013,323
ABC989028,2/1/2013,323
ABC989028,3/1/2013,323
ABC989035,1/1/2013,323
ABC989035,2/1/2013,0
ABC989061,1/1/2013,0
ABC989061,2/1/2013,0
ABC989061,3/1/2013,0
ABC989079,1/1/2013,366
ABC989079,2/1/2013,366
ABC989079,3/1/2013,320
ABC989098,1/1/2013,233
ABC989098,2/1/2013,0
ABC989098,3/1/2013,0
ABC989122,1/1/2013,323
ABC989122,2/1/2013,323
ABC989122,3/1/2013,323
ABC989205,1/1/2013,0
ABC989205,2/1/2013,0
ABC989205,3/1/2013,0
ABC989215,1/1/2013,158
ABC989215,2/1/2013,158
ABC989215,3/1/2013,139
ABC989217,1/1/2013,278
ABC989217,2/1/2013,278
ABC989217,3/1/2013,278
ABC989249,1/1/2013,217
ABC989249,2/1/2013,217
ABC989249,3/1/2013,217
ABC989265,1/1/2013,213
ABC989265,2/1/2013,213
ABC989265,3/1/2013,206
ABC989303,1/1/2013,364
ABC989303,2/1/2013,284
ABC989303,3/1/2013,299
ABC989316,1/1/2013,288
ABC989316,2/1/2013,206
ABC989316,3/1/2013,206
ABC989356,2/1/2013,323
ABC989356,3/1/2013,323
ABC989368,1/1/2013,490
ABC989368,2/1/2013,490
ABC989368,3/1/2013,490
ABC989370,1/1/2013,139
ABC989370,2/1/2013,139
ABC989370,3/1/2013,139
ABC989393,1/1/2013,649
ABC989393,2/1/2013,649
ABC989393,3/1/2013,649
ABC989410,1/1/2013,261
ABC989410,2/1/2013,261
ABC989410,3/1/2013,261
ABC989453,2/1/2013,507
ABC989453,3/1/2013,507
ABC989463,1/1/2013,291
ABC989463,2/1/2013,285
ABC989463,3/1/2013,285
ABC989487,1/1/2013,288
ABC989487,2/1/2013,288
ABC989487,3/1/2013,288
ABC989496,1/1/2013,0
ABC989496,2/1/2013,0
ABC989496,3/1/2013,0
ABC989517,1/1/2013,258
ABC989517,2/1/2013,252
ABC989517,3/1/2013,294
ABC989542,1/1/2013,275
ABC989542,2/1/2013,275
ABC989542,3/1/2013,275
ABC989546,1/1/2013,490
ABC989546,2/1/2013,490
ABC989546,3/1/2013,490
ABC989579,1/1/2013,219
ABC989579,2/1/2013,219
ABC989579,3/1/2013,179
ABC989597,1/1/2013,0
ABC989597,2/1/2013,0
ABC989597,3/1/2013,0
ABC989606,1/1/2013,554
ABC989606,2/1/2013,554
ABC989606,3/1/2013,549
ABC989614,1/1/2013,201
ABC989614,2/1/2013,201
ABC989614,3/1/2013,201
ABC989672,1/1/2013,183
ABC989672,2/1/2013,182
ABC989672,3/1/2013,182
ABC989675,2/1/2013,148
ABC989675,3/1/2013,148
ABC989680,1/1/2013,271
ABC989680,2/1/2013,266
ABC989680,3/1/2013,266
ABC989703,1/1/2013,416
ABC989703,2/1/2013,416
ABC989703,3/1/2013,411
ABC989724,1/1/2013,323
ABC989724,2/1/2013,323
ABC989724,3/1/2013,323
ABC989737,1/1/2013,285
ABC989737,2/1/2013,285
ABC989737,3/1/2013,279
ABC989761,1/1/2013,306
ABC989761,2/1/2013,306
ABC989761,3/1/2013,306
ABC989787,1/1/2013,252
ABC989787,2/1/2013,252
ABC989787,3/1/2013,246
ABC989789,1/1/2013,243
ABC989789,2/1/2013,0
ABC989798,1/1/2013,264
ABC989798,2/1/2013,264
ABC989798,3/1/2013,258
ABC989849,1/1/2013,302
ABC989849,2/1/2013,294
ABC989849,3/1/2013,294
ABC989866,1/1/2013,224
ABC989866,2/1/2013,224
ABC989885,1/1/2013,323
ABC989885,3/1/2013,323
ABC989894,1/1/2013,0
ABC989894,2/1/2013,0
ABC989894,3/1/2013,0
ABC989898,1/1/2013,323
ABC989898,2/1/2013,323
ABC989898,3/1/2013,323
ABC989946,1/1/2013,323
ABC989946,2/1/2013,323
ABC989946,3/1/2013,323
ABC989972,1/1/2013,323
ABC989972,2/1/2013,323
ABC989972,3/1/2013,323
ABC989983,1/1/2013,360
ABC989983,2/1/2013,360
ABC989983,3/1/2013,360
ABC990042,1/1/2013,216
ABC990042,2/1/2013,216
ABC990042,3/1/2013,216
ABC990083,1/1/2013,490
ABC990083,2/1/2013,490
ABC990083,3/1/2013,490
ABC990096,1/1/2013,158
ABC990096,2/1/2013,167
ABC990096,3/1/2013,167
ABC990133,1/1/2013,148
ABC990133,2/1/2013,148
ABC990133,3/1/2013,148
ABC990162,1/1/2013,139
ABC990162,2/1/2013,178
ABC990162,3/1/2013,178
ABC990204,1/1/2013,323
ABC990204,2/1/2013,323
ABC990204,3/1/2013,323
ABC990316,2/1/2013,244
ABC990316,3/1/2013,244
ABC990323,1/1/2013,154
ABC990323,2/1/2013,154
ABC990323,3/1/2013,154
ABC990369,1/1/2013,323
ABC990369,2/1/2013,323
ABC990369,3/1/2013,210
ABC990385,1/1/2013,163
ABC990385,2/1/2013,163
ABC990385,3/1/2013,163
ABC990398,1/1/2013,270
ABC990398,2/1/2013,265
ABC990398,3/1/2013,265
ABC990415,2/1/2013,490
ABC990415,3/1/2013,490
ABC990427,1/1/2013,139
ABC990427,2/1/2013,279
ABC990427,3/1/2013,286
ABC990429,1/1/2013,152
ABC990429,2/1/2013,152
ABC990429,3/1/2013,152
ABC990443,1/1/2013,649
ABC990443,2/1/2013,649
ABC990443,3/1/2013,649
ABC990446,1/1/2013,323
ABC990446,2/1/2013,323
ABC990446,3/1/2013,323
ABC990451,1/1/2013,337
ABC990451,2/1/2013,337
ABC990451,3/1/2013,337
ABC990460,1/1/2013,328
ABC990460,2/1/2013,328
ABC990460,3/1/2013,311
ABC990462,1/1/2013,323
ABC990462,2/1/2013,323
ABC990462,3/1/2013,323
ABC990478,1/1/2013,649
ABC990478,2/1/2013,649
ABC990478,3/1/2013,649
ABC990479,1/1/2013,242
ABC990479,2/1/2013,242
ABC990479,3/1/2013,242
ABC990504,1/1/2013,250
ABC990504,2/1/2013,230
ABC990504,3/1/2013,230
ABC990511,1/1/2013,323
ABC990511,2/1/2013,323
ABC990511,3/1/2013,323
ABC990513,1/1/2013,289
ABC990513,3/1/2013,289
ABC990531,1/1/2013,258
ABC990531,2/1/2013,258
ABC990531,3/1/2013,258
ABC990551,1/1/2013,204
ABC990551,2/1/2013,204
ABC990551,3/1/2013,204
ABC990558,1/1/2013,246
ABC990558,2/1/2013,246
ABC990558,3/1/2013,246
ABC990567,2/1/2013,218
ABC990567,3/1/2013,218
ABC990592,1/1/2013,235
ABC990592,2/1/2013,230
ABC990592,3/1/2013,230
ABC990611,1/1/2013,239
ABC990611,2/1/2013,239
ABC990611,3/1/2013,239
ABC990612,1/1/2013,649
ABC990612,2/1/2013,649
ABC990612,3/1/2013,649
ABC990613,1/1/2013,323
ABC990613,2/1/2013,323
ABC990613,3/1/2013,323
ABC990676,1/1/2013,266
ABC990676,2/1/2013,261
ABC990676,3/1/2013,263
ABC990691,1/1/2013,284
ABC990719,1/1/2013,323
ABC990719,2/1/2013,323
ABC990719,3/1/2013,323
ABC990728,1/1/2013,292
ABC990728,2/1/2013,292
ABC990728,3/1/2013,292
ABC990738,1/1/2013,172
ABC990738,2/1/2013,0
ABC990738,3/1/2013,0
ABC990748,1/1/2013,139
ABC990748,2/1/2013,139
ABC990748,3/1/2013,139
ABC990783,1/1/2013,490
ABC990783,2/1/2013,490
ABC990783,3/1/2013,490
ABC990794,1/1/2013,490
ABC990794,2/1/2013,449
ABC990794,3/1/2013,417
ABC990836,1/1/2013,323
ABC990836,2/1/2013,323
ABC990836,3/1/2013,323
ABC990857,3/1/2013,0
ABC990872,1/1/2013,163
ABC990872,2/1/2013,163
ABC990872,3/1/2013,163
ABC990902,1/1/2013,490
ABC990902,2/1/2013,490
ABC990902,3/1/2013,490
ABC990936,1/1/2013,601
ABC990936,2/1/2013,601
ABC990936,3/1/2013,601
ABC990999,1/1/2013,689
ABC990999,2/1/2013,689
ABC991001,1/1/2013,323
ABC991001,2/1/2013,323
ABC991001,3/1/2013,0
ABC991004,1/1/2013,152
ABC991004,2/1/2013,148
ABC991004,3/1/2013,148
ABC991016,1/1/2013,297
ABC991016,2/1/2013,323
ABC991016,3/1/2013,323
ABC991038,1/1/2013,352
ABC991038,2/1/2013,352
ABC991038,3/1/2013,352
ABC991046,1/1/2013,337
ABC991046,2/1/2013,337
ABC991046,3/1/2013,337
ABC991088,1/1/2013,200
ABC991088,2/1/2013,200
ABC991088,3/1/2013,200
ABC991109,1/1/2013,323
ABC991109,2/1/2013,323
ABC991109,3/1/2013,323
ABC991150,2/1/2013,284
ABC991150,3/1/2013,284
ABC991151,1/1/2013,309
ABC991151,2/1/2013,309
ABC991151,3/1/2013,309
ABC991210,1/1/2013,336
ABC991210,2/1/2013,336
ABC991210,3/1/2013,336
ABC991225,1/1/2013,323
ABC991225,2/1/2013,323
ABC991225,3/1/2013,323
ABC991243,2/1/2013,0
ABC991243,3/1/2013,0
ABC991265,1/1/2013,268
ABC991265,2/1/2013,268
ABC991265,3/1/2013,280
ABC991278,2/1/2013,0
ABC991278,3/1/2013,0
ABC991282,1/1/2013,490
ABC991282,2/1/2013,270
ABC991282,3/1/2013,270
ABC991364,1/1/2013,791
ABC991364,2/1/2013,791
ABC991364,3/1/2013,791
ABC991395,3/1/2013,251
ABC991401,1/1/2013,323
ABC991401,3/1/2013,323
ABC991459,1/1/2013,258
ABC991459,2/1/2013,258
ABC991459,3/1/2013,258
ABC991461,1/1/2013,458
ABC991461,2/1/2013,458
ABC991461,3/1/2013,458
ABC991505,1/1/2013,592
ABC991505,3/1/2013,0
ABC991510,1/1/2013,242
ABC991510,2/1/2013,242
ABC991510,3/1/2013,242
ABC991580,1/1/2013,299
ABC991580,2/1/2013,299
ABC991580,3/1/2013,294
ABC991626,1/1/2013,323
ABC991626,2/1/2013,323
ABC991626,3/1/2013,323
ABC991644,1/1/2013,323
ABC991644,2/1/2013,323
ABC991644,3/1/2013,323
ABC991652,1/1/2013,303
ABC991652,2/1/2013,0
ABC991652,3/1/2013,0
ABC991659,1/1/2013,490
ABC991659,2/1/2013,490
ABC991659,3/1/2013,490
ABC991692,1/1/2013,239
ABC991692,2/1/2013,233
ABC991692,3/1/2013,233
ABC991693,1/1/2013,299
ABC991693,2/1/2013,299
ABC991693,3/1/2013,299
ABC991732,1/1/2013,315
ABC991732,2/1/2013,315
ABC991732,3/1/2013,309
ABC991737,1/1/2013,315
