ID,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit
ABC989007, ,1/1/2013, , , ,Verified,79,ZIP1,DI,N,N,587,0,0,0,877,187
ABC989007, ,3/1/2013, , , ,Verified,79,ZIP1,DI,N,N,611,0,0,0,877,114
ABC989016, ,2/1/2013, , , ,Verified,64,ZIP2,DI,N,N,290,0,0,0,854,306
ABC989016, ,3/1/2013, , , ,Verified,64,ZIP2,DI,N,N,290,0,0,0,854,306
ABC989020, ,1/1/2013, , , ,Unverified,47,ZIP1,MA,N,N,1021,0,0,0,1154,520
ABC989020, ,2/1/2013, , , ,Unverified,47,ZIP1,MA,N,N,1021,0,0,0,1154,520
ABC989020, ,3/1/2013, , , ,Unverified,47,ZIP1,MA,N,N,1057,0,0,0,1154,498
ABC989023, ,1/1/2013, , , ,Verified,55,ZIP3,NM,N,N,0,0,0,0,0,0
ABC989023, ,2/1/2013, , , ,Verified,55,ZIP3,NM,N,N,380,0,0,0,715,252
ABC989023, ,3/1/2013, , , ,Verified,55,ZIP3,NM,N,N,380,0,0,0,715,252
ABC989028, ,1/1/2013, , , ,Verified,54,ZIP4,DI,N,N,0,0,0,0,904,400
ABC989028, ,2/1/2013, , , ,Verified,54,ZIP4,DI,N,N,0,0,0,0,904,400
ABC989028, ,3/1/2013, , , ,Verified,54,ZIP4,DI,N,N,0,0,0,0,904,400
ABC989035, ,1/1/2013, , , ,Verified,32,ZIP3,NM,N,N,0,0,0,0,0,0
ABC989035, ,2/1/2013, , , ,Verified,32,ZIP3,NM,N,N,0,0,0,0,0,0
ABC989061,228,1/1/2013, , ,228,Unverified,55,ZIP2,WI,N,N,0,0,0,0,0,0
ABC989061,228,2/1/2013, , ,228,Unverified,55,ZIP2,WI,N,N,0,0,0,0,0,0
ABC989061,228,3/1/2013, , ,228,Unverified,55,ZIP2,WI,N,N,0,0,0,0,0,0
ABC989079, ,1/1/2013, , , ,Verified,29,ZIP2,NM,N,N,1078,0,0,0,687,486
ABC989079, ,2/1/2013, , , ,Verified,29,ZIP2,NM,N,N,1078,0,0,0,687,486
ABC989079, ,3/1/2013, , , ,Verified,29,ZIP2,NM,N,N,1230,0,0,0,971,394
ABC989098, ,1/1/2013, , , ,Verified,58,ZIP5,WI,N,N,0,0,0,0,0,240
