ID,Overpayment_Amount,Payment_Date,Dollar_Error1,Dollar_Error2,Dollar_Error3,Citizenship,Age_in_yrs,ZipCodes,Marital_Status,Previous_Felony,Moved_from_out_of_state_12_mths,Income,Dependent_Care_Amount,Medical_Expense_Amount,Child_Support_Amount,Rent_Amount,Monthly_Benefit,Benefit_Amt,KEY,No_Adults,No_Children
ABC989007, ,1/1/2013, , , ,Verified,79.0,ZIP1,DI,N,N,587,0,0.0,0.0,877.0,187,187,ABC989007,1,0
ABC989007, ,3/1/2013, , , ,Verified,79.0,ZIP1,DI,N,N,611,0,0.0,0.0,877.0,114,180,ABC989007,1,0
ABC989016, ,2/1/2013, , , ,Verified,64.0,ZIP2,DI,N,N,290,0,0.0,0.0,854.0,306,276,ABC989016,1,0
ABC989016, ,3/1/2013, , , ,Verified,64.0,ZIP2,DI,N,N,290,0,0.0,0.0,854.0,306,276,ABC989016,1,0
ABC989020, ,1/1/2013, , , ,Unverified,47.0,ZIP1,MA,N,N,1021,0,0.0,0.0,1154.0,520,383,ABC989020,2,1
ABC989020, ,2/1/2013, , , ,Unverified,47.0,ZIP1,MA,N,N,1021,0,0.0,0.0,1154.0,520,383,ABC989020,2,1
ABC989020, ,3/1/2013, , , ,Unverified,47.0,ZIP1,MA,N,N,1057,0,0.0,0.0,1154.0,498,372,ABC989020,2,1
ABC989023, ,1/1/2013, , , ,Verified,55.0,ZIP3,NM,N,N,0,0,0.0,0.0,0.0,0,249,ABC989023,1,0
ABC989023, ,2/1/2013, , , ,Verified,55.0,ZIP3,NM,N,N,380,0,0.0,0.0,715.0,252,249,ABC989023,1,0
ABC989023, ,3/1/2013, , , ,Verified,55.0,ZIP3,NM,N,N,380,0,0.0,0.0,715.0,252,249,ABC989023,1,0
ABC989028, ,1/1/2013, , , ,Verified,54.0,ZIP4,DI,N,N,0,0,0.0,0.0,904.0,400,323,ABC989028,1,0
ABC989028, ,2/1/2013, , , ,Verified,54.0,ZIP4,DI,N,N,0,0,0.0,0.0,904.0,400,323,ABC989028,1,0
ABC989028, ,3/1/2013, , , ,Verified,54.0,ZIP4,DI,N,N,0,0,0.0,0.0,904.0,400,323,ABC989028,1,0
ABC989035, ,1/1/2013, , , ,Verified,32.0,ZIP3,NM,N,N,0,0,0.0,0.0,0.0,0,323,ABC989035,1,0
ABC989035, ,2/1/2013, , , ,Verified,32.0,ZIP3,NM,N,N,0,0,0.0,0.0,0.0,0,0,ABC989035,1,0
ABC989061,228,1/1/2013, , ,228,Unverified,55.0,ZIP2,WI,N,N,0,0,0.0,0.0,0.0,0,0,ABC989061,1,0
ABC989061,228,2/1/2013, , ,228,Unverified,55.0,ZIP2,WI,N,N,0,0,0.0,0.0,0.0,0,0,ABC989061,1,0
ABC989061,228,3/1/2013, , ,228,Unverified,55.0,ZIP2,WI,N,N,0,0,0.0,0.0,0.0,0,0,ABC989061,1,0
ABC989079, ,1/1/2013, , , ,Verified,29.0,ZIP2,NM,N,N,1078,0,0.0,0.0,687.0,486,366,ABC989079,1,2
ABC989079, ,2/1/2013, , , ,Verified,29.0,ZIP2,NM,N,N,1078,0,0.0,0.0,687.0,486,366,ABC989079,1,2
ABC989079, ,3/1/2013, , , ,Verified,29.0,ZIP2,NM,N,N,1230,0,0.0,0.0,971.0,394,320,ABC989079,1,2
ABC989098, ,1/1/2013, , , ,Verified,58.0,ZIP5,WI,N,N,0,0,0.0,0.0,0.0,240,233,ABC989098,2,1
ABC989098,233,2/1/2013,233, , ,Verified,58.0,ZIP5,WI,N,N,1486,0,0.0,0.0,0.0,240,0,ABC989098,2,1
ABC989098,233,3/1/2013,233, , ,Verified,58.0,ZIP5,WI,N,N,1486,0,0.0,0.0,0.0,240,0,ABC989098,2,1
ABC989122, ,1/1/2013, , , ,Verified,26.0,ZIP2,,N,Y,0,0,0.0,0.0,0.0,400,323,ABC989122,1,0
ABC989122, ,2/1/2013, , , ,Verified,26.0,ZIP2,,N,Y,0,0,0.0,0.0,0.0,400,323,ABC989122,1,0
ABC989122, ,3/1/2013, , , ,Verified,26.0,ZIP2,,N,Y,0,0,0.0,0.0,0.0,400,323,ABC989122,1,0
ABC989205, ,1/1/2013, , , ,Verified,89.0,ZIP5,WI,N,N,0,0,0.0,0.0,0.0,0,0,ABC989205,1,0
ABC989205, ,2/1/2013, , , ,Verified,89.0,ZIP5,WI,N,N,0,0,0.0,0.0,0.0,0,0,ABC989205,1,0
ABC989205, ,3/1/2013, , , ,Verified,89.0,ZIP5,WI,N,N,0,0,0.0,0.0,0.0,0,0,ABC989205,1,0
ABC989215, ,1/1/2013, , , ,Verified,60.0,ZIP2,NM,N,N,0,0,0.0,0.0,0.0,0,158,ABC989215,1,0
ABC989215, ,2/1/2013, , , ,Verified,60.0,ZIP2,NM,N,N,0,0,0.0,0.0,0.0,0,158,ABC989215,1,0
ABC989215, ,3/1/2013, , , ,Verified,60.0,ZIP2,NM,N,N,876,0,0.0,0.0,336.0,32,139,ABC989215,1,0
ABC989217, ,1/1/2013, , , ,Verified,42.0,ZIP3,NM,N,N,0,0,0.0,0.0,0.0,0,278,ABC989217,1,1
ABC989217, ,2/1/2013, , , ,Verified,42.0,ZIP3,NM,N,N,0,0,0.0,0.0,0.0,0,278,ABC989217,1,1
ABC989217, ,3/1/2013, , , ,Verified,42.0,ZIP3,NM,N,N,0,0,0.0,0.0,0.0,0,278,ABC989217,1,1
ABC989249, ,1/1/2013, , , ,Verified,68.0,ZIP5,DI,N,N,486,0,0.0,0.0,670.0,188,217,ABC989249,1,0
ABC989249, ,2/1/2013, , , ,Verified,68.0,ZIP5,DI,N,N,486,0,0.0,0.0,670.0,188,217,ABC989249,1,0
ABC989249, ,3/1/2013, , , ,Verified,68.0,ZIP5,DI,N,N,486,0,0.0,0.0,670.0,188,217,ABC989249,1,0
ABC989265, ,1/1/2013, , , ,Verified,48.0,ZIP3,NM,N,N,0,0,0.0,0.0,0.0,0,213,ABC989265,1,0
ABC989265, ,2/1/2013, , , ,Verified,48.0,ZIP3,NM,N,N,0,0,0.0,0.0,0.0,0,213,ABC989265,1,0
ABC989265, ,3/1/2013, , , ,Verified,48.0,ZIP3,NM,N,N,522,0,0.0,0.0,804.0,166,206,ABC989265,1,0
ABC989303, ,1/1/2013, , , ,Verified,52.0,ZIP5,MA,N,N,552,0,354.0,0.0,804.0,482,364,ABC989303,2,0
ABC989303, ,2/1/2013, , , ,Verified,52.0,ZIP5,MA,N,N,820,0,392.0,0.0,416.0,322,284,ABC989303,2,0
ABC989303, ,3/1/2013, , , ,Verified,52.0,ZIP5,MA,N,N,769,0,392.0,0.0,530.0,352,299,ABC989303,2,0
ABC989316, ,1/1/2013, , , ,Verified,30.0,ZIP3,MA,N,N,250,0,0.0,525.3,604.0,330,288,ABC989316,1,0
ABC989316, ,2/1/2013, , , ,Verified,30.0,ZIP3,MA,N,N,524,0,0.0,525.3,0.0,166,206,ABC989316,1,0
ABC989316, ,3/1/2013, , , ,Verified,30.0,ZIP3,MA,N,N,524,0,0.0,525.3,0.0,166,206,ABC989316,1,0
ABC989356, ,2/1/2013, , , ,Verified,59.0,ZIP2,NM,N,N,0,0,0.0,0.0,0.0,400,323,ABC989356,1,0
ABC989356, ,3/1/2013, , , ,Verified,59.0,ZIP2,NM,N,N,0,0,0.0,0.0,0.0,400,323,ABC989356,1,0
ABC989368, ,1/1/2013, , , ,Verified,28.0,ZIP5,NM,N,N,0,0,0.0,0.0,604.0,734,490,ABC989368,1,1
ABC989368, ,2/1/2013, , , ,Verified,28.0,ZIP5,NM,N,N,0,0,0.0,0.0,604.0,734,490,ABC989368,1,1
ABC989368, ,3/1/2013, , , ,Verified,28.0,ZIP5,NM,N,N,0,0,0.0,0.0,604.0,734,490,ABC989368,1,1
ABC989370,518,1/1/2013, ,518, ,Verified,27.0,ZIP5,NM,N,N,1010,0,0.0,0.0,0.0,32,139,ABC989370,1,0
ABC989370,518,2/1/2013, ,518, ,Verified,27.0,ZIP5,NM,N,N,1010,0,0.0,0.0,0.0,32,139,ABC989370,1,0
ABC989370,518,3/1/2013, ,518, ,Verified,27.0,ZIP5,NM,N,N,1001,0,0.0,0.0,0.0,32,139,ABC989370,1,0
ABC989393, ,1/1/2013, , , ,Verified,36.0,ZIP4,MA,N,N,0,0,0.0,0.0,1229.0,1052,649,ABC989393,2,1
ABC989393, ,2/1/2013, , , ,Verified,36.0,ZIP4,MA,N,N,0,0,0.0,0.0,1229.0,1052,649,ABC989393,2,1
ABC989393, ,3/1/2013, , , ,Verified,36.0,ZIP4,MA,N,N,0,0,0.0,0.0,1229.0,1052,649,ABC989393,2,1
ABC989410, ,1/1/2013, , , ,Verified,65.0,ZIP3,NM,N,N,0,0,0.0,0.0,0.0,0,261,ABC989410,1,0
ABC989410, ,2/1/2013, , , ,Verified,65.0,ZIP3,NM,N,N,0,0,0.0,0.0,0.0,0,261,ABC989410,1,0
ABC989410, ,3/1/2013, , , ,Verified,65.0,ZIP3,NM,N,N,0,0,0.0,0.0,0.0,0,261,ABC989410,1,0
ABC989453, ,2/1/2013, , , ,Verified,37.0,ZIP1,NM,N,N,608,436,0.0,0.0,636.0,768,507,ABC989453,1,2
ABC989453, ,3/1/2013, , , ,Verified,37.0,ZIP1,NM,N,N,608,436,0.0,0.0,636.0,768,507,ABC989453,1,2
ABC989463, ,1/1/2013, , , ,Verified,60.0,ZIP1,DI,N,N,241,0,0.0,0.0,854.0,336,291,ABC989463,1,0
ABC989463, ,2/1/2013, , , ,Verified,60.0,ZIP1,DI,N,N,259,0,0.0,0.0,854.0,324,285,ABC989463,1,0
ABC989463, ,3/1/2013, , , ,Verified,60.0,ZIP1,DI,N,N,259,0,0.0,0.0,854.0,324,285,ABC989463,1,0
ABC989487, ,1/1/2013, , , ,Verified,58.0,ZIP2,NM,N,N,250,0,291.0,0.0,839.0,330,288,ABC989487,1,0
ABC989487, ,2/1/2013, , , ,Verified,58.0,ZIP2,NM,N,N,249,0,291.0,0.0,839.0,330,288,ABC989487,1,0
ABC989487, ,3/1/2013, , , ,Verified,58.0,ZIP2,NM,N,N,249,0,291.0,0.0,839.0,330,288,ABC989487,1,0
