"","ID","Payment_Date","Overpayment_Amount","Dollar_Error1","Dollar_Error2","Dollar_Error3","Citizenship","Age_in_yrs","ZipCodes","Marital_Status","Previous_Felony","Moved_from_out_of_state_12_mths","Income","Dependent_Care_Amount","Medical_Expense_Amount","Child_Support_Amount","Rent_Amount","Monthly_Benefit","Benefit_Amt","No_Adults","No_Children"
"1","ABC989007","1/1/2013",NA,NA,NA,NA,"Verified",79,"ZIP1","DI","N","N",587,0,0,0,877,187,187,1,0
"2","ABC989007","3/1/2013",NA,NA,NA,NA,"Verified",79,"ZIP1","DI","N","N",611,0,0,0,877,114,180,1,0
"3","ABC989016","2/1/2013",NA,NA,NA,NA,"Verified",64,"ZIP2","DI","N","N",290,0,0,0,854,306,276,1,0
"4","ABC989016","3/1/2013",NA,NA,NA,NA,"Verified",64,"ZIP2","DI","N","N",290,0,0,0,854,306,276,1,0
"5","ABC989020","1/1/2013",NA,NA,NA,NA,"Unverified",47,"ZIP1","MA","N","N",1021,0,0,0,1154,520,383,2,1
"6","ABC989020","2/1/2013",NA,NA,NA,NA,"Unverified",47,"ZIP1","MA","N","N",1021,0,0,0,1154,520,383,2,1
"7","ABC989020","3/1/2013",NA,NA,NA,NA,"Unverified",47,"ZIP1","MA","N","N",1057,0,0,0,1154,498,372,2,1
"8","ABC989023","1/1/2013",NA,NA,NA,NA,"Verified",55,"ZIP3","NM","N","N",0,0,0,0,0,0,249,1,0
"9","ABC989023","2/1/2013",NA,NA,NA,NA,"Verified",55,"ZIP3","NM","N","N",380,0,0,0,715,252,249,1,0
"10","ABC989023","3/1/2013",NA,NA,NA,NA,"Verified",55,"ZIP3","NM","N","N",380,0,0,0,715,252,249,1,0
"11","ABC989028","1/1/2013",NA,NA,NA,NA,"Verified",54,"ZIP4","DI","N","N",0,0,0,0,904,400,323,1,0
"12","ABC989028","2/1/2013",NA,NA,NA,NA,"Verified",54,"ZIP4","DI","N","N",0,0,0,0,904,400,323,1,0
"13","ABC989028","3/1/2013",NA,NA,NA,NA,"Verified",54,"ZIP4","DI","N","N",0,0,0,0,904,400,323,1,0
"14","ABC989035","1/1/2013",NA,NA,NA,NA,"Verified",32,"ZIP3","NM","N","N",0,0,0,0,0,0,323,1,0
"15","ABC989035","2/1/2013",NA,NA,NA,NA,"Verified",32,"ZIP3","NM","N","N",0,0,0,0,0,0,0,1,0
"16","ABC989061","1/1/2013",228,NA,NA,228,"Unverified",55,"ZIP2","WI","N","N",0,0,0,0,0,0,0,1,0
"17","ABC989061","2/1/2013",228,NA,NA,228,"Unverified",55,"ZIP2","WI","N","N",0,0,0,0,0,0,0,1,0
"18","ABC989061","3/1/2013",228,NA,NA,228,"Unverified",55,"ZIP2","WI","N","N",0,0,0,0,0,0,0,1,0
"19","ABC989079","1/1/2013",NA,NA,NA,NA,"Verified",29,"ZIP2","NM","N","N",1078,0,0,0,687,486,366,1,2
"20","ABC989079","2/1/2013",NA,NA,NA,NA,"Verified",29,"ZIP2","NM","N","N",1078,0,0,0,687,486,366,1,2
"21","ABC989079","3/1/2013",NA,NA,NA,NA,"Verified",29,"ZIP2","NM","N","N",1230,0,0,0,971,394,320,1,2
"22","ABC989098","1/1/2013",NA,NA,NA,NA,"Verified",58,"ZIP5","WI","N","N",0,0,0,0,0,240,233,2,1
